Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2020,1850.2171,1199.554765,2195.24162,3409.19003,86.43548,483.64864,174.972245,3820.48769,3920.364645,3599.720165,3072.597595,4717.58449,2961.959725,9696.828
SSP3,2021,1878.670449,1238.897162,1997.698338,3091.313061,86.61582586,484.657763,175.337321,3767.203714,3865.687695,3562.223663,3040.440125,4727.427633,2920.649557,9575.61765
SSP3,2022,1906.995223,1277.318351,1802.120528,2778.745093,86.79617171,485.6668859,175.702397,3713.664655,3810.748993,3524.727161,3008.282655,4737.270777,2879.141626,9454.4073
SSP3,2023,1935.520007,1314.590347,1609.399131,2472.849691,86.97651757,486.6760089,176.067473,3659.870511,3755.548538,3487.230659,2976.125185,4747.11392,2837.435933,9333.19695
SSP3,2024,1958.745629,1293.189342,1523.674381,2343.551359,87.15686342,487.6851319,176.432549,3605.821284,3700.086331,3449.734157,2943.967715,4756.957063,2795.532478,9211.9866
SSP3,2025,1979.626006,1260.926635,1460.05629,2250.088643,87.33720928,488.6942548,176.797625,3551.516973,3644.362371,3412.237655,2911.810245,4766.800206,2753.431261,9090.77625
SSP3,2026,1996.612773,1234.887105,1379.868965,2128.946942,87.3990117,489.0400695,176.9227323,3492.220913,3583.516166,3374.741153,2879.652775,4770.173337,2707.460025,8969.5659
SSP3,2027,2012.633348,1188.397669,1334.759235,2066.508369,87.46081412,489.3858842,177.0478396,3432.837439,3522.580262,3337.244651,2847.495305,4773.546467,2661.421018,8848.35555
SSP3,2028,2030.452311,1155.048124,1276.59615,1979.817082,87.52261654,489.7316988,177.1729469,3373.36655,3461.554658,3299.748149,2815.337836,4776.919597,2615.31424,8727.1452
SSP3,2029,2048.134472,1119.468804,1228.345892,1908.281659,87.58441896,490.0775135,177.2980541,3313.808247,3400.439354,3262.251646,2783.180366,4780.292728,2569.139691,8605.93485
SSP3,2030,2059.989333,1084.933524,1181.584747,1838.806914,87.64622138,490.4233282,177.4231614,3254.16253,3339.234351,3224.755144,2751.022896,4783.665858,2522.897372,8484.7245
SSP3,2031,2057.516319,1044.279597,1130.366964,1767.092474,87.63343468,490.3517803,177.3972772,3191.712775,3275.152006,3187.258642,2718.865426,4782.967969,2474.481129,8363.51415
SSP3,2032,2062.262815,1027.713686,1106.231134,1727.282401,87.62064797,490.2802324,177.3713929,3129.281106,3211.088219,3149.76214,2686.707956,4782.27008,2426.078908,8242.3038
SSP3,2033,2066.89986,1031.72267,1119.712192,1744.405126,87.60786126,490.2086846,177.3455086,3066.867522,3147.04299,3112.265638,2654.550486,4781.572191,2377.690708,8121.09345
SSP3,2034,2071.404286,1035.971674,1133.200355,1761.482089,87.59507455,490.1371367,177.3196244,3004.472024,3083.01632,3074.769136,2622.393016,4780.874302,2329.31653,7999.8831
SSP3,2035,2075.468354,1040.391434,1146.696729,1778.474924,87.58228784,490.0655889,177.2937401,2942.094612,3019.008209,3037.272634,2590.235546,4780.176413,2280.956374,7878.67275
SSP3,2036,2077.477596,1049.316309,1160.22153,1792.430338,87.51462485,489.6869814,177.1567692,2877.930671,2953.166864,2999.776132,2558.078076,4776.483417,2231.211151,7757.4624
SSP3,2037,2079.642314,1058.541498,1174.425454,1806.734035,87.44696186,489.308374,177.0197983,2813.862433,2887.423725,2962.27963,2525.920606,4772.790421,2181.540127,7636.25205
SSP3,2038,2081.472018,1068.068914,1189.069415,1821.600166,87.37929886,488.9297665,176.8828274,2749.889899,2821.778792,2924.783128,2493.763136,4769.097424,2131.943299,7515.0417
SSP3,2039,2082.868446,1077.970399,1204.208266,1837.172057,87.31163587,488.5511591,176.7458565,2686.013069,2756.232064,2887.286626,2461.605666,4765.404428,2082.420669,7393.83135
SSP3,2040,2083.880178,1088.458669,1220.047958,1853.699698,87.24397287,488.1725517,176.6088856,2622.231942,2690.783541,2849.790124,2429.448196,4761.711432,2032.972236,7272.621
SSP3,2041,2077.064377,1086.551819,1228.939325,1867.845321,87.12702777,487.5181869,176.3721524,2557.100133,2623.949027,2812.293622,2397.290726,4755.328655,1982.476642,7151.41065
SSP3,2042,2072.643752,1093.91554,1242.701618,1883.385878,87.01008268,486.863822,176.1354192,2492.133733,2557.284245,2774.79712,2365.133256,4748.945879,1932.109287,7030.2003
SSP3,2043,2067.85206,1101.983442,1257.365878,1900.227434,86.89313758,486.2094572,175.898686,2427.332742,2490.789196,2737.300618,2332.975786,4742.563102,1881.870171,6908.98995
SSP3,2044,2062.905574,1111.438773,1273.154949,1918.262649,86.77619248,485.5550924,175.6619528,2362.69716,2424.463881,2699.804116,2300.818317,4736.180325,1831.759293,6787.7796
SSP3,2045,2057.510358,1120.902021,1289.479999,1937.587554,86.65924738,484.9007276,175.4252197,2298.226986,2358.308298,2662.307613,2268.660847,4729.797548,1781.776654,6666.56925
SSP3,2046,2050.287862,1132.293112,1306.077031,1955.062022,86.47650402,483.8781894,175.0552904,2232.223767,2290.579592,2624.811111,2236.503377,4719.823551,1730.60547,6545.3589
SSP3,2047,2041.905566,1144.180459,1323.222731,1973.509139,86.29376066,482.8556512,174.6853611,2166.479022,2223.116118,2587.314609,2204.345907,4709.849553,1679.634677,6424.14855
SSP3,2048,2033.402401,1156.175392,1340.905589,1993.050917,86.11101729,481.833113,174.3154318,2100.992752,2155.917876,2549.818107,2172.188437,4699.875556,1628.864276,6302.9382
SSP3,2049,2021.747501,1165.650507,1357.592415,2013.445066,85.92827393,480.8105748,173.9455025,2035.764957,2088.984866,2512.321605,2140.030967,4689.901558,1578.294266,6181.72785
SSP3,2050,2009.52646,1174.126665,1374.096718,2034.760604,85.74553056,479.7880366,173.5755732,1970.795637,2022.317088,2474.825103,2107.873497,4679.927561,1527.924647,6060.5175
SSP3,2051,1993.508386,1186.42491,1391.322887,2053.377356,85.50018561,478.415212,173.0789188,1904.690214,1954.483506,2437.328601,2075.716027,4666.536815,1476.674226,5939.30715
SSP3,2052,1976.979657,1199.246345,1409.387075,2072.923316,85.25484066,477.0423874,172.5822644,1838.931811,1887.006017,2399.832099,2043.558557,4653.146069,1425.692844,5818.0968
SSP3,2053,1960.426616,1206.734797,1417.00214,2077.307787,85.0094957,475.6695628,172.0856101,1773.520428,1819.884618,2362.335597,2011.401087,4639.755323,1374.980501,5696.88645
SSP3,2054,1942.606335,1197.282986,1391.800036,2034.638985,84.76415075,474.2967382,171.5889557,1708.456063,1753.119311,2324.839095,1979.243617,4626.364577,1324.537196,5575.6761
SSP3,2055,1924.797975,1187.367718,1365.22203,1990.277435,84.5188058,472.9239136,171.0923014,1643.738719,1686.710096,2287.342593,1947.086147,4612.973831,1274.362929,5454.46575
SSP3,2056,1912.177994,1191.155497,1365.640158,1984.793006,84.21432232,471.2201802,170.4759323,1578.260079,1619.519683,2249.846091,1914.928677,4596.355349,1223.598443,5333.2554
SSP3,2057,1884.152013,1177.267378,1335.777915,1938.782305,83.90983884,469.5164467,169.8595632,1513.212105,1552.771195,2212.349589,1882.771207,4579.736866,1173.167845,5212.04505
SSP3,2058,1852.800245,1155.131867,1309.960958,1908.395734,83.60535537,467.8127133,169.2431941,1448.594796,1486.464631,2174.853087,1850.613737,4563.118383,1123.071135,5090.8347
SSP3,2059,1853.952024,1144.03441,1281.046338,1861.264534,83.30087189,466.1089798,168.6268251,1384.408154,1420.599992,2137.356585,1818.456267,4546.499901,1073.308312,4969.62435
SSP3,2060,1853.906364,1133.102227,1251.929588,1814.475961,82.99638841,464.4052463,168.010456,1320.652178,1355.177277,2099.860083,1786.298798,4529.881418,1023.879378,4848.414
SSP3,2061,1840.536409,1146.356375,1270.303576,1835.121293,82.64661868,462.4481142,167.3024135,1256.638292,1289.489911,2062.36358,1754.141328,4510.791245,974.2504912,4727.20365
SSP3,2062,1826.839398,1159.633323,1288.814733,1855.825321,82.29684895,460.4909821,166.5943709,1193.119125,1224.310196,2024.867078,1721.983858,4491.701072,925.0051516,4605.9933
SSP3,2063,1812.057989,1172.97911,1307.440852,1876.548042,81.94707922,458.5338499,165.8863284,1130.094678,1159.638135,1987.370576,1689.826388,4472.610899,876.1433597,4484.78295
SSP3,2064,1797.003654,1186.275571,1326.110249,1897.200472,81.59730948,456.5767178,165.1782859,1067.56495,1095.473726,1949.874074,1657.668918,4453.520726,827.6651154,4363.5726
SSP3,2065,1772.821703,1193.993862,1334.032518,1902.705257,81.24753975,454.6195857,164.4702434,1005.529941,1031.81697,1912.377572,1625.511448,4434.430553,779.5704187,4242.36225
SSP3,2066,1762.960469,1181.91267,1302.914424,1854.863077,80.87033187,452.5089237,163.7066575,943.6694787,968.3393224,1874.88107,1593.353978,4413.842826,731.6110446,4121.1519
SSP3,2067,1736.047546,1159.659255,1267.401761,1806.500621,80.493124,450.3982618,162.9430717,882.3425445,905.4091511,1837.384568,1561.196508,4393.2551,684.065306,3999.94155
SSP3,2068,1735.557463,1147.355537,1236.496214,1758.337528,80.11591612,448.2875999,162.1794858,821.5491387,843.026456,1799.888066,1529.039038,4372.667373,636.9332028,3878.7312
SSP3,2069,1726.902326,1135.247368,1206.029801,1711.040334,79.73870824,446.176938,161.4159,761.2892611,781.1912369,1762.391564,1496.881568,4352.079647,590.2147353,3757.52085
SSP3,2070,1713.116089,1128.092103,1185.593452,1677.791629,79.36150037,444.066276,160.6523141,701.5629119,719.9034938,1724.895062,1464.724098,4331.49192,543.9099032,3636.3105
SSP3,2071,1701.259487,1138.960506,1201.344569,1694.584518,78.96164936,441.8289148,159.8428916,698.0281925,716.2763682,1687.39856,1432.566628,4309.668348,541.1694948,3515.10015
SSP3,2072,1689.355397,1149.476981,1216.794726,1710.826687,78.56179836,439.5915535,159.033469,694.4934731,712.6492425,1649.902058,1400.409158,4287.844777,538.4290864,3393.8898
SSP3,2073,1677.494851,1159.606621,1231.900557,1726.438285,78.16194735,437.3541923,158.2240464,690.9587537,709.0221168,1612.405556,1368.251688,4266.021205,535.688678,3272.67945
SSP3,2074,1665.082941,1169.478915,1246.770395,1741.555906,77.76209635,435.116831,157.4146239,687.4240343,705.3949911,1574.909054,1336.094218,4244.197633,532.9482697,3151.4691
SSP3,2075,1655.468085,1170.616825,1256.778545,1755.813067,77.36224534,432.8794697,156.6052013,683.8893149,701.7678655,1537.412552,1303.936748,4222.374062,530.2078613,3030.25875
SSP3,2076,1630.476782,1139.367489,1214.240299,1703.718567,76.93415703,430.4841069,155.7386177,680.1049751,697.8845937,1499.91605,1271.779279,4199.009318,527.2739264,2909.0484
SSP3,2077,1611.474842,1124.147696,1180.240289,1652.238233,76.50606871,428.0887441,154.872034,676.3206353,694.0013219,1462.419547,1239.621809,4175.644575,524.3399915,2787.83805
SSP3,2078,1593.874285,1108.710443,1145.937617,1600.614528,76.07798039,425.6933814,154.0054504,672.5362954,690.1180501,1424.923045,1207.464339,4152.279831,521.4060566,2666.6277
SSP3,2079,1576.396372,1106.490238,1138.205142,1585.386079,75.64989207,423.2980186,153.1388667,668.7519556,686.2347783,1387.426543,1175.306869,4128.915088,518.4721217,2545.41735
SSP3,2080,1560.105112,1106.922453,1136.078912,1577.83145,75.22180376,420.9026558,152.2722831,664.9676158,682.3515065,1349.930041,1143.149399,4105.550345,515.5381868,2424.207
SSP3,2081,1520.640196,1085.815915,1098.098556,1524.75181,74.76894119,418.368669,151.3555486,660.9642694,678.2435028,1312.433539,1110.991929,4080.833441,512.4344598,2302.99665
SSP3,2082,1484.30283,1085.133392,1094.546859,1515.455562,74.31607863,415.8346822,150.4388142,656.9609229,674.135499,1274.937037,1078.834459,4056.116538,509.3307328,2181.7863
SSP3,2083,1454.790977,1084.69791,1091.652207,1507.056788,73.86321607,413.3006955,149.5220798,652.9575765,670.0274953,1237.440535,1046.676989,4031.399635,506.2270057,2060.57595
SSP3,2084,1451.953614,1084.038758,1088.604138,1498.475423,73.4103535,410.7667087,148.6053454,648.9542301,665.9194915,1199.944033,1014.519519,4006.682731,503.1232787,1939.3656
SSP3,2085,1452.381469,1072.014188,1062.627313,1459.254772,72.95749094,408.2327219,147.688611,644.9508837,661.8114877,1162.447531,982.3620491,3981.965828,500.0195517,1818.15525
SSP3,2086,1399.540506,1061.489691,1060.647218,1466.125029,72.48438276,405.585451,146.7308931,640.7685641,657.5198321,1124.951029,950.2045791,3956.143934,496.7770698,1696.9449
SSP3,2087,1378.454737,1055.008872,1064.479243,1473.077118,72.01127457,402.9381801,145.7731753,636.5862445,653.2281764,1087.454527,918.0471092,3930.322039,493.5345879,1575.73455
SSP3,2088,1356.16783,1059.531144,1072.962368,1480.0108,71.53816639,400.2909093,144.8154574,632.403925,648.9365207,1049.958025,885.8896393,3904.500145,490.2921061,1454.5242
SSP3,2089,1335.785269,1063.839055,1081.300543,1486.551365,71.0650582,397.6436384,143.8577396,628.2216054,644.644865,1012.461523,853.7321693,3878.678251,487.0496242,1333.31385
SSP3,2090,1315.516124,1067.906285,1089.362902,1492.715818,70.59195002,394.9963675,142.9000218,624.0392859,640.3532093,974.9650206,821.5746994,3852.856356,483.8071423,1212.1035
SSP3,2091,1324.552075,1071.344465,1097.549998,1497.530406,70.10019455,392.244756,141.904556,619.6921226,635.8924005,937.4685186,789.4172294,3826.016707,480.4368599,1090.89315
SSP3,2092,1323.670909,1074.381851,1104.12615,1501.858458,69.60843909,389.4931444,140.9090903,615.3449594,631.4315917,899.9720165,757.2597595,3799.177058,477.0665775,969.6828
SSP3,2093,1321.445977,1077.245943,1110.595775,1506.00375,69.11668362,386.7415329,139.9136246,610.9977962,626.9707829,862.4755144,725.1022896,3772.337409,473.6962951,848.47245
SSP3,2094,1319.133968,1079.895227,1116.785021,1509.740986,68.62492815,383.9899214,138.9181589,606.6506329,622.5099742,824.9790124,692.9448196,3745.49776,470.3260127,727.2621
SSP3,2095,1316.682708,1082.339229,1122.827659,1513.23378,68.13317269,381.2383099,137.9226931,602.3034697,618.0491654,787.4825103,660.7873497,3718.65811,466.9557303,606.05175
SSP3,2096,1300.792016,1070.832874,1122.822078,1515.729845,67.62063882,378.3704331,136.8851655,597.7726235,613.3998717,749.9860083,628.6298798,3690.684392,463.4430416,484.8414
SSP3,2097,1288.927255,1059.011035,1120.657858,1517.824251,67.10810496,375.5025563,135.8476378,593.2417773,608.750578,712.4895062,596.4724098,3662.710673,459.9303529,363.63105
SSP3,2098,1283.483876,1050.63364,1120.147692,1519.759314,66.59557109,372.6346795,134.8101102,588.7109311,604.1012844,674.9930041,564.3149399,3634.736954,456.4176642,242.4207
SSP3,2099,1261.171593,1052.215045,1125.180576,1521.921395,66.08303722,369.7668027,133.7725825,584.1800849,599.4519907,637.4965021,532.1574699,3606.763235,452.9049755,121.21035
SSP3,2100,1245.582019,1053.677435,1130.051257,1523.842306,65.57050336,366.8989259,132.7350548,579.6492387,594.802697,600,500,3578.789516,449.3922868,0
